prefix,sum
ПЕРИОД:2026-01-01..2026-09-20,0
0Частное лицо Покупатель,9153704
1-Базилик 1 (Шевченко),54781868
100-Сrave cafe (Cейфуллина): CV Склад ГП с Фуд завода,15556474
102-Яндекс лавка Абылай хана,62,60624326
102-Яндекс лавка Айтеке Би,16 Астана,5423169
102-Яндекс лавка Байтурсынова 4/1 Астана,5850079
102-Яндекс лавка Бухар Жырау,25/1 Астана,7244971
102-Яндекс лавка Васнецова,25,46620058
102-Яндекс лавка Кожамкулова,202,53673390
102-Яндекс лавка Коктерек,2,16171445
102-Яндекс лавка Майлина,10 Астана,4421731
102-Яндекс лавка Мамыр3,д.3,28413153
102-Яндекс лавка Навои,58/1,35442055
102-Яндекс лавка Розыбакиева 275А,48195259
102-Яндекс лавка Самал-2, дом 105,38375627
102-Яндекс лавка Сатпаева.90/21,39975690
102-Яндекс лавка Тимирязева 38/1,29943573
102-Яндекс лавка Толе би,51 Астана,7514460
102-Яндекс лавка г. Конаев Заречный с. Арна-Яндекс,22464901
102-Яндекс лавка г.Алматы, Илийский р-н, с.Аскар Токпанов, уч.15Д, ул.Бережинского,20,41234692
103-Бобух ИП, ул. Торетай 92, бутик 103,3696507
104-DQ12 ТОО г.Тараз, Конаева 12,8846712
105-Алга экспресс, Райымбек, ст-е 479/5 - АЗС 133,215850
105-Алга экспресс, Рыскулова 57 Б,3392131
105-Алга экспресс, Северное кольцо, 27 Е/ АЗС-160,1359332
105-Алга экспресс, по.Боролдай, ул.Аэродромная,2г/1,22770
105-Алга экспресс, ул.Ержанова М. д.135/1,20430
107-AL Group ул.Мусатай Карима 12/12 офис 11,2214034
108-GO Market KRG ИП  г.Караганда, пр-кт С.Сейфуллина 109А,503820
108-GO Market KRG ИП г.Караганда, ул. Бухар Жырау 2/3,484484
108-GO Market KRG ИП г.Караганда, ул. Ермекова 96/5,462012
108-GO Market KRG ИП г.Караганда, ул. Муканова 51/3,766764
108-GO Market KRG ИП г.Караганда, ул. Речная 34/2,439980
108-GO Market KRG ИП г.Караганда, ул. Штурманская 20/1,1011598
108-GO Market ИП Акмолинская обл.Аршалынский р-н,Жибек жолы,ул.Берлик 43 (АЗС 14),260292
110 АЗС №1 "Sinooil" г.Шымкент ,Абайский р-н,Темерлановское шоссе,участок 192,87570
110 АЗС №12 "Sinooil" " Мерке", Меркенский район, с/о Жамбыл, учетный квартал 002, зем. участок 256,619038
110 АЗС №13 "Sinooil"  " Мерке", Меркенский район, с/о Жамбыл, учетный квартал 002, зем. участок 257,2262444
110 АЗС №2 "Sinooil" "Айша биби" Жамбылская область, с/о Айша бибин, учетный квартал 059, здание 598,28080
110 АЗС №2 "Sinooil" пр. Абая 109б, уг.ул. Мирзояна,2812857
110 АЗС №21 "Sinooil" г.Шымкент,Туранский р-н,Ташкентская трасса,здание 96,600880
110 АЗС №22 "Sinooil" мкр. Аксай-4, ул. Сайна, уг.ул. Жубанова,329610
110 АЗС №24 "Sinooil" Алматы - Бишкек 38км,834590
110 АЗС №25 "Sinooil" Алфараби - Розыбакиева,1723753
110 АЗС №29 "Sinooil" г.Шымкент,Туркестанская обл.,Тулькубасский р-н,с.Жаскешу 24 квартал,уч.1144,1572670
110 АЗС №4  "Sinooil" Тараз "Кордай-2", Кордайский район, 208км+600м трасса Алматы  - термез,150930
110 АЗС №41 "Sinooil" трасса Алматы-Хоргос 21,4 км,1935415
110 АЗС №52 "Sinooil" Алматы - Нарынкол 1км,893647
110 АЗС №53 "Sinooil" трасса Алматы - Бишкек (за рестораном "БАХАР"),1193100
110 АЗС №59 "Sinooil" г. Капчагай, ул. Кунаева 20,917040
110 АЗС №6 "Sinooil" с. Междуреченск, трасса Алматы_Астана,719640
110 АЗС №61 "Sinooil" трасса Алматы - Бишкек 45,5км,1346760
110 АЗС №63 "Sinooil" г. Талдыкорган, трасса Алматы - Устькаменогорск, ул. К.Жалаири,278100
110 АЗС №64 "Sinooil" мкр. Кок-Кайнар 1/10,1126474
110 АЗС №65 "Sinooil" с. Жармухамед, уч. 1167, кв 34,,905249
110 АЗС №66 "Sinooil" Алматинск.обл.Кегенский р-н,с. Кеген,ул.Райымбек,89,1042766
110 АЗС №67 "Sinooil" г. Жаркент, пр. Жибек жолы, уч. 185,2004128
110 АЗС №68 "Sinooil" с. Атамекен, учетный квартал 135, здание 177,1809658
110 АЗС №69 "Sinooil" Алм.обл.Енбекшиказахский р-н,село Шелек, ул.Малай батыра,499,1061693
110 АЗС №7  "Sinooil" пр. Рыскулова 91а,564013
110 АЗС №70 "Sinooil" Алматинск.обл.Енбекшинск.р-н,село Пелек, уч.кв.262,стр.5,2903922
110 АЗС №73 "Sinooil" Трасса Алматы-Усть-Каменогорск, 100а,483870
110 АЗС №9 "Sinooil" Медеуский р-н, пр. Райымбека,74,542471
111 ГЛОВО г. Алматы, мкр. Таугуль - 1, дом.59,923209
111 ГЛОВО г. Алматы, ул. Желтоксан, дом 37А,10892084
