prefix,sum
90-мкр-н Коктем-3, дом 17,1204833
90-мкрн САМАЛ 3, 15к1,339070
90-пр-т Абылай хана д,3А,130823
90-пр. Сейфуллина, д. 498, н.п. 24А,401656
90-ул.Сатпаева 90/ 67  нп 67 (магазин "Акварель"),82892
96-ТОО DSF (дистрибьютор),5787984
97-ИП Ник и Ко (Кейтеринг),300930
98-O-live: Склад O-live,9189166
99-RP АЗС 1,126672
99-RP АЗС 10,596778
99-RP АЗС 12,20898
99-RP АЗС 13,60646
99-RP АЗС 15,88678
99-RP АЗС 17,104516
99-RP АЗС 18,900112
99-RP АЗС 201,3067748
99-RP АЗС 202,1986244
99-RP АЗС 203,850020
99-RP АЗС 204,2579370
99-RP АЗС 205,1835836
99-RP АЗС 206,2165558
99-RP АЗС 207,1065238
99-RP АЗС 21,267088
99-RP АЗС 22,85156
99-RP АЗС 23,132400
99-RP АЗС 26,1032174
99-RP АЗС 27,124704
99-RP АЗС 28,184034
99-RP АЗС 29,474610
99-RP АЗС 30,186052
99-RP АЗС 301,899468
99-RP АЗС 302,1013324
99-RP АЗС 303,947990
99-RP АЗС 304,395920
99-RP АЗС 305,1581104
99-RP АЗС 306,1584976
99-RP АЗС 307,275488
99-RP АЗС 308,284540
99-RP АЗС 309,761500
99-RP АЗС 32,280990
99-RP АЗС 33,112536
99-RP АЗС 34,119952
99-RP АЗС 36,84516
99-RP АЗС 37,77326
99-RP АЗС 38,1515152
99-RP АЗС 39,131418
99-RP АЗС 4,162138
99-RP АЗС 42,352462
99-RP АЗС 45,870978
99-RP АЗС 46,1651356
99-RP АЗС 47,369694
99-RP АЗС 48,224130
99-RP АЗС 5,226184
99-RP АЗС 50,108854
99-RP АЗС 51,860850
99-RP АЗС 52,305216
99-RP АЗС 53,389904
99-RP АЗС 54,202854
99-RP АЗС 55,117694
99-RP АЗС 57,1317534
99-RP АЗС 58,282364
99-RP АЗС 59,71968
99-RP АЗС 6,99286
99-RP АЗС 60,122986
99-RP АЗС 61,174566
99-RP АЗС 62,291738
