prefix,sum
ПЕРИОД:2026-08-01..2026-08-31,0
0Частное лицо Покупатель,320453
1-Базилик 1 (Шевченко),5750324
100-Сrave cafe (Cейфуллина): CV Склад ГП с Фуд завода,937085
102-Яндекс лавка Абылай хана,62,6217497
102-Яндекс лавка Айтеке Би,16 Астана,693275
102-Яндекс лавка Байтурсынова 4/1 Астана,708413
102-Яндекс лавка Бухар Жырау,25/1 Астана,1177264
102-Яндекс лавка Васнецова,25,5286401
102-Яндекс лавка Кожамкулова,202,5837304
102-Яндекс лавка Коктерек,2,1896686
102-Яндекс лавка Майлина,10 Астана,556924
102-Яндекс лавка Мамыр3,д.3,3206736
102-Яндекс лавка Навои,58/1,3601921
102-Яндекс лавка Розыбакиева 275А,4842894
102-Яндекс лавка Самал-2, дом 105,3981058
102-Яндекс лавка Сатпаева.90/21,4084169
102-Яндекс лавка Тимирязева 38/1,3259472
102-Яндекс лавка Толе би,51 Астана,1051798
102-Яндекс лавка г.Алматы, Илийский р-н, с.Аскар Токпанов, уч.15Д, ул.Бережинского,20,6410977
104-DQ12 ТОО г.Тараз, Конаева 12,716856
107-AL Group ул.Мусатай Карима 12/12 офис 11,425522
110 АЗС №2 "Sinooil" пр. Абая 109б, уг.ул. Мирзояна,254220
110 АЗС №25 "Sinooil" Алфараби - Розыбакиева,152784
110 АЗС №41 "Sinooil" трасса Алматы-Хоргос 21,4 км,304620
110 АЗС №52 "Sinooil" Алматы - Нарынкол 1км,125230
110 АЗС №53 "Sinooil" трасса Алматы - Бишкек (за рестораном "БАХАР"),240540
110 АЗС №59 "Sinooil" г. Капчагай, ул. Кунаева 20,147570
110 АЗС №6 "Sinooil" с. Междуреченск, трасса Алматы_Астана,180870
110 АЗС №61 "Sinooil" трасса Алматы - Бишкек 45,5км,79500
110 АЗС №64 "Sinooil" мкр. Кок-Кайнар 1/10,47700
110 АЗС №65 "Sinooil" с. Жармухамед, уч. 1167, кв 34,,62888
110 АЗС №66 "Sinooil" Алматинск.обл.Кегенский р-н,с. Кеген,ул.Райымбек,89,196130
110 АЗС №67 "Sinooil" г. Жаркент, пр. Жибек жолы, уч. 185,111300
110 АЗС №68 "Sinooil" с. Атамекен, учетный квартал 135, здание 177,100100
110 АЗС №69 "Sinooil" Алм.обл.Енбекшиказахский р-н,село Шелек, ул.Малай батыра,499,221972
110 АЗС №7  "Sinooil" пр. Рыскулова 91а,68954
110 АЗС №73 "Sinooil" Трасса Алматы-Усть-Каменогорск, 100а,185060
110 АЗС №9 "Sinooil" Медеуский р-н, пр. Райымбека,74,36853
111 ГЛОВО г. Алматы, ул. Желтоксан, дом 37А,984800
111 ГЛОВО г.Алматы, ул.Серкебаева, 31,1822432
2-Базилик 2 (Желтоксан),1069900
7-Kaspi Банк (Склад ГП): Склад ГП КБ,19978878
85-ДФЗ (дистрибьютор),112830892
86-Crave Cafe (Жетысу-4,2а): СН Склад ГП с Фудзавода,987473
9-Базилик 5 (Аксай),2167270
90- Аль-Фараби 103 н.п.407 (Примавера),477515
90-АЛЬ-ФАРАБИ 17/1 к 5б (Нурлы Тау 5Б),644139
90-Аксай 4 д119 н.п.252 (магазин Опера),262531
90-Аль-Фараби 19 нп 515,211315
90-Аль-Фараби 27/1 (Магазин №92),464752
90-Аль-Фараби 27/3, нп 700 (№83 Аль-Фараби 27),577936
90-Аль-Фараби 41/7, нп 1102 (№85 Метрополь),513656
90-Аль-Фараби 69 Б,2576885
90-Аль-Фараби 7, пом. ВП 3-1-5А в БЦ Нурлы Тау,564827
90-Аль-Фараби ул.Ондасынова ,28/3 Юбилейный  7, пом. ВП 3-1-5А в БЦ Нурлы Тау,1201011
90-Аль-Фараби,д. 15/1 маг. 91,884877
90-Аль-фараби 111а н.п.298 (Актолкын),957648
90-Астана, ул. Бухар Жырау, 20б ЖК Хайвил Парк 2 207,126471
90-Астана, ул. Кабанбай Батыра 2/1, ЖК Северная Корона 201,126471
90-Астана, ул. Кошкарбаева 8 Хайвил  246,332574
90-Астана, ул. Мангелик ел, 57а Нацбанк 244,348831
90-Астана, ул.А. Байтурсынова 5 , ЖК Хайвил блок D 247,126471
90-Гагарина 124 н.п 760 (дом на Абая),595942
90-Гагарина 277/7 (магазин Seven Hills),485437
90-Гагарина 310 корп 4 н.п.250 (Комфорт сити 4),229395
90-Гагарина 310 корп.8 н.п.220 (Комфорт сити 8),225286
90-ЖК Мега Тауэрс Кекилбаева 270 н.п. 523,482290
90-Жазылбека 20 н.п.124 (магазин Каргалы),848310
90-Жарокова 219 (маг.30),126029
90-Жибек жолы 135, литер А40-А40а,359684
90-Керемет 7, пом. 444,984195
90-Куанышбаева мкр-н 2, дом 28А, часть 1,438927
90-Курмангазы-Радостовца 178/82 маг (Green House),629011
90-ММ АЛЬ-ФАРАБИ 21/6 ММ 79,393246
90-Масанчи 88/99 (Масанчи HP),239256
90-Масанчи 98 Б н.п.43 ( КУАТна Абая-Масанчи),233932
90-Мауленова 112/88 (Мауленова HP),1180303
90-Мирас д157,блок 3 ч/лит Е1отм -3,9 (Солнечная Долина),476874
90-Навои 210 корпус 1 н.п.123 (Навои),510203
90-Навои 7 н.п.375 (Авоська),350410
90-Назарбаева 248, пом. 8,9,10 в БЦ Сарканд,469462
90-Назарбаева 270а (магазин Горный Гигант),275720
90-Омаровой 25 пом 41а ( маг.Европолис),253437
90-Орион Альфараби 9 блок 4 г н.п.202,301361
90-Панфилова 80 н.п.2,207300
90-Райымбека 165 (Райымбека НР),280747
90-Райымбека 210/ 12 корпус 5 н.п.141 ЖК Ауэзов Сити,150606
90-Райымбека 210/ 5 н.п.285 (Ауэзов Сити 2),392933
90-Райымбека 210/ 6 н.п.268 (Ауэзов Сити 3),128799
90-Райымбека 210/3 блок 12 (Ауэзов Сити 4),108678
90-Розыбакиева 197/1 н.п.273 Эстет,306749
90-Розыбакиева 63/5 (Бокс Парк),51732
90-Розыбакиева, 217Б блок 15 (Эстет 4),446866
90-Розыбакиева, д 217А, н.п.306 (Эстет 3) магаз.№86,344060
90-Сатпаева 90/73н.п.135 (Акварель 2),580604
90-Таттимбета 9 Б ( Коктобе),816906
90-Театральный Жамбыла д. 48,353852
90-Утепова  31 блок 10 нп.3515  ЖК Рамс Сити,266330
90-Утепова  31 блок 4 пом ЖК Рамс Сити,155925
90-Шевченко 97/Масанчи 71 (Буфет НР) магазин 67,87363
90-мкр-н Коктем-3, дом 17,1307585
90-мкрн САМАЛ 3, 15к1,372363
90-пр-т Абылай хана д,3А,139417
90-пр. Сейфуллина, д. 498, н.п. 24А,333916
90-ул.Сатпаева 90/ 67  нп 67 (магазин "Акварель"),49171
96-ТОО DSF (дистрибьютор),30525468
97-ИП Ник и Ко (Кейтеринг),1367500
98-O-live: Склад O-live,14358642
99-RP АЗС 1,167740
99-RP АЗС 10,489000
99-RP АЗС 13,73240
99-RP АЗС 15,46146
99-RP АЗС 17,71918
99-RP АЗС 18,547562
99-RP АЗС 201,2711372
99-RP АЗС 202,1247574
99-RP АЗС 203,1339226
99-RP АЗС 204,1210650
99-RP АЗС 205,1075958
99-RP АЗС 206,792128
99-RP АЗС 207,1411452
99-RP АЗС 21,171068
99-RP АЗС 22,44550
99-RP АЗС 23,166496
99-RP АЗС 26,742982
99-RP АЗС 27,22350
99-RP АЗС 28,156840
99-RP АЗС 29,540642
99-RP АЗС 30,40818
99-RP АЗС 301,307620
99-RP АЗС 302,381298
99-RP АЗС 303,536728
99-RP АЗС 304,10860
99-RP АЗС 305,740098
99-RP АЗС 306,708460
99-RP АЗС 307,23040
99-RP АЗС 308,158908
99-RP АЗС 309,216018
99-RP АЗС 32,165904
99-RP АЗС 33,80098
99-RP АЗС 34,100064
99-RP АЗС 36,24030
99-RP АЗС 37,63686
99-RP АЗС 38,1410326
99-RP АЗС 39,91234
99-RP АЗС 4,181908
99-RP АЗС 42,297396
99-RP АЗС 45,327554
99-RP АЗС 46,1393778
99-RP АЗС 47,219584
99-RP АЗС 48,169574
99-RP АЗС 5,198798
99-RP АЗС 50,80010
99-RP АЗС 51,600330
99-RP АЗС 52,272302
99-RP АЗС 53,254936
99-RP АЗС 54,132164
99-RP АЗС 55,49276
99-RP АЗС 57,699538
99-RP АЗС 58,119406
99-RP АЗС 59,6750
99-RP АЗС 6,80866
99-RP АЗС 60,76830
99-RP АЗС 61,122374
99-RP АЗС 62,283672
99-RP АЗС 63,208452
99-RP АЗС 65,561988
99-RP АЗС 66,64290
99-RP АЗС 67,636928
99-RP АЗС 68,91890
99-RP АЗС 69,662236
99-RP АЗС 7,995286
99-RP АЗС 70,108514
99-RP АЗС 71,113730
99-RP АЗС 72,1560670
99-RP АЗС 73,378208
99-RP АЗС 74,702502
99-RP АЗС 9,242506
Иналка Фуд Сервис ТОО,119650
Ти Ирина,95032
