prefix,sum
ПЕРИОД:2026-06-01..2026-06-30,0
0Частное лицо Покупатель,1735143
1-Базилик 1 (Шевченко),5586532
100-Сrave cafe (Cейфуллина): CV Склад ГП с Фуд завода,1169787
102-Яндекс лавка Абылай хана,62,7777745
102-Яндекс лавка Айтеке Би,16 Астана,565699
102-Яндекс лавка Байтурсынова 4/1 Астана,917960
102-Яндекс лавка Бухар Жырау,25/1 Астана,1008951
102-Яндекс лавка Васнецова,25,6338115
102-Яндекс лавка Кожамкулова,202,6941750
102-Яндекс лавка Коктерек,2,1972497
102-Яндекс лавка Майлина,10 Астана,306906
102-Яндекс лавка Мамыр3,д.3,3667151
102-Яндекс лавка Навои,58/1,4500322
102-Яндекс лавка Розыбакиева 275А,6131805
102-Яндекс лавка Самал-2, дом 105,4622010
102-Яндекс лавка Сатпаева.90/21,5044627
102-Яндекс лавка Тимирязева 38/1,3879170
102-Яндекс лавка Толе би,51 Астана,767764
102-Яндекс лавка г.Алматы, Илийский р-н, с.Аскар Токпанов, уч.15Д, ул.Бережинского,20,5409209
104-DQ12 ТОО г.Тараз, Конаева 12,749920
107-AL Group ул.Мусатай Карима 12/12 офис 11,322450
108-GO Market KRG ИП  г.Караганда, пр-кт С.Сейфуллина 109А,29670
108-GO Market KRG ИП г.Караганда, ул. Бухар Жырау 2/3,69132
108-GO Market KRG ИП г.Караганда, ул. Ермекова 96/5,47766
108-GO Market KRG ИП г.Караганда, ул. Муканова 51/3,83046
108-GO Market KRG ИП г.Караганда, ул. Речная 34/2,44496
108-GO Market KRG ИП г.Караганда, ул. Штурманская 20/1,100902
110 АЗС №2 "Sinooil" пр. Абая 109б, уг.ул. Мирзояна,294808
110 АЗС №21 "Sinooil" г.Шымкент,Туранский р-н,Ташкентская трасса,здание 96,130110
110 АЗС №22 "Sinooil" мкр. Аксай-4, ул. Сайна, уг.ул. Жубанова,43620
110 АЗС №24 "Sinooil" Алматы - Бишкек 38км,87520
110 АЗС №25 "Sinooil" Алфараби - Розыбакиева,110976
110 АЗС №29 "Sinooil" г.Шымкент,Туркестанская обл.,Тулькубасский р-н,с.Жаскешу 24 квартал,уч.1144,163590
110 АЗС №41 "Sinooil" трасса Алматы-Хоргос 21,4 км,131130
110 АЗС №52 "Sinooil" Алматы - Нарынкол 1км,23850
110 АЗС №53 "Sinooil" трасса Алматы - Бишкек (за рестораном "БАХАР"),130440
110 АЗС №59 "Sinooil" г. Капчагай, ул. Кунаева 20,159960
110 АЗС №64 "Sinooil" мкр. Кок-Кайнар 1/10,47700
110 АЗС №65 "Sinooil" с. Жармухамед, уч. 1167, кв 34,,88080
110 АЗС №67 "Sinooil" г. Жаркент, пр. Жибек жолы, уч. 185,256340
110 АЗС №68 "Sinooil" с. Атамекен, учетный квартал 135, здание 177,192600
110 АЗС №69 "Sinooil" Алм.обл.Енбекшиказахский р-н,село Шелек, ул.Малай батыра,499,308990
110 АЗС №7  "Sinooil" пр. Рыскулова 91а,108803
110 АЗС №70 "Sinooil" Алматинск.обл.Енбекшинск.р-н,село Пелек, уч.кв.262,стр.5,257500
110 АЗС №73 "Sinooil" Трасса Алматы-Усть-Каменогорск, 100а,63570
110 АЗС №9 "Sinooil" Медеуский р-н, пр. Райымбека,74,23850
111 ГЛОВО г. Алматы, ул. Желтоксан, дом 37А,935371
111 ГЛОВО г.Алматы, ул.Серкебаева, 31,1713845
2-Базилик 2 (Желтоксан),1061245
7-Kaspi Банк (Склад ГП): Склад ГП КБ,20974479
85-ДФЗ (дистрибьютор),91984296
86-Crave Cafe (Жетысу-4,2а): СН Склад ГП с Фудзавода,1663702
9-Базилик 5 (Аксай),2175512
90- Аль-Фараби 103 н.п.407 (Примавера),455237
90-АЛЬ-ФАРАБИ 17/1 к 5б (Нурлы Тау 5Б),895798
90-Аксай 4 д119 н.п.252 (магазин Опера),270356
90-Аль-Фараби 19 нп 515,212323
90-Аль-Фараби 27/1 (Магазин №92),280560
90-Аль-Фараби 27/3, нп 700 (№83 Аль-Фараби 27),650681
90-Аль-Фараби 41/7, нп 1102 (№85 Метрополь),697921
90-Аль-Фараби 69 Б,1600462
90-Аль-Фараби 7, пом. ВП 3-1-5А в БЦ Нурлы Тау,532057
90-Аль-Фараби ул.Ондасынова ,28/3 Юбилейный  7, пом. ВП 3-1-5А в БЦ Нурлы Тау,858147
90-Аль-Фараби,д. 15/1 маг. 91,743349
90-Аль-фараби 111а н.п.298 (Актолкын),736868
90-Гагарина 124 н.п 760 (дом на Абая),461721
90-Гагарина 277/7 (магазин Seven Hills),374085
90-Гагарина 310 корп 4 н.п.250 (Комфорт сити 4),255886
90-Гагарина 310 корп.8 н.п.220 (Комфорт сити 8),209392
90-ЖК Мега Тауэрс Кекилбаева 270 н.п. 523,454541
90-Жазылбека 20 н.п.124 (магазин Каргалы),324197
90-Жарокова 219 (маг.30),186366
90-Жибек жолы 135, литер А40-А40а,386670
90-Керемет 7, пом. 444,771400
90-Куанышбаева мкр-н 2, дом 28А, часть 1,411457
90-Курмангазы-Радостовца 178/82 маг (Green House),572430
90-ММ АЛЬ-ФАРАБИ 21/6 ММ 79,377230
90-Масанчи 88/99 (Масанчи HP),345566
90-Масанчи 95( Керемет),225455
90-Масанчи 98 Б н.п.43 ( КУАТна Абая-Масанчи),226968
90-Мауленова 112/88 (Мауленова HP),1148460
90-Мирас д157,блок 3 ч/лит Е1отм -3,9 (Солнечная Долина),421978
90-Навои 210 корпус 1 н.п.123 (Навои),448289
90-Навои 7 н.п.375 (Авоська),396029
90-Назарбаева 248, пом. 8,9,10 в БЦ Сарканд,355092
90-Назарбаева 270а (магазин Горный Гигант),246576
90-Омаровой 25 пом 41а ( маг.Европолис),266152
90-Орион Альфараби 9 блок 4 г н.п.202,280077
90-Панфилова 80 н.п.2,239394
90-Райымбека 165 (Райымбека НР),275483
90-Райымбека 210/ 12 корпус 5 н.п.141 ЖК Ауэзов Сити,192833
90-Райымбека 210/ 5 н.п.285 (Ауэзов Сити 2),314878
90-Райымбека 210/ 6 н.п.268 (Ауэзов Сити 3),109229
90-Райымбека 210/3 блок 12 (Ауэзов Сити 4),64660
90-Розыбакиева 197/1 н.п.273 Эстет,251629
90-Розыбакиева 63/5 (Бокс Парк),58569
90-Розыбакиева, 217Б блок 15 (Эстет 4),502214
90-Розыбакиева, д 217А, н.п.306 (Эстет 3) магаз.№86,446257
90-Сатпаева 90/73н.п.135 (Акварель 2),757510
90-Таттимбета 9 Б ( Коктобе),608842
90-Театральный Жамбыла д. 48,337068
90-Утепова  31 блок 10 нп.3515  ЖК Рамс Сити,218221
90-Утепова  31 блок 4 пом ЖК Рамс Сити,178220
90-Шевченко 97/Масанчи 71 (Буфет НР) магазин 67,41252
90-мкр-н Коктем-3, дом 17,1088144
90-мкрн САМАЛ 3, 15к1,302135
90-пр-т Абылай хана д,3А,119060
90-пр. Сейфуллина, д. 498, н.п. 24А,449214
90-ул.Сатпаева 90/ 67  нп 67 (магазин "Акварель"),144908
96-ТОО DSF (дистрибьютор),19684414
97-ИП Ник и Ко (Кейтеринг),2096872
98-O-live: Склад O-live,7976562
99-RP АЗС 1,153116
99-RP АЗС 10,513900
99-RP АЗС 12,51750
99-RP АЗС 13,92044
99-RP АЗС 15,104906
99-RP АЗС 17,103278
99-RP АЗС 18,300278
99-RP АЗС 201,3189378
99-RP АЗС 202,1374700
99-RP АЗС 203,766360
99-RP АЗС 204,1935630
99-RP АЗС 205,618004
99-RP АЗС 206,996280
99-RP АЗС 207,423820
99-RP АЗС 21,302634
99-RP АЗС 22,99960
99-RP АЗС 23,132746
99-RP АЗС 26,657178
99-RP АЗС 27,82038
99-RP АЗС 28,146776
99-RP АЗС 29,461476
99-RP АЗС 30,134784
99-RP АЗС 301,314610
99-RP АЗС 302,707850
99-RP АЗС 303,1089040
99-RP АЗС 304,90130
99-RP АЗС 305,1102460
99-RP АЗС 306,1319440
99-RP АЗС 307,187230
99-RP АЗС 308,168560
99-RP АЗС 309,240020
99-RP АЗС 32,203055
99-RP АЗС 33,84820
99-RP АЗС 34,87950
99-RP АЗС 36,50710
99-RP АЗС 37,91582
99-RP АЗС 39,129034
99-RP АЗС 4,185207
99-RP АЗС 42,245760
99-RP АЗС 44,380558
99-RP АЗС 45,358794
99-RP АЗС 46,551054
99-RP АЗС 47,205626
99-RP АЗС 48,161022
99-RP АЗС 5,148606
99-RP АЗС 50,117758
99-RP АЗС 51,487506
99-RP АЗС 52,411392
99-RP АЗС 53,209360
99-RP АЗС 54,185560
99-RP АЗС 55,93730
99-RP АЗС 57,306944
99-RP АЗС 58,293524
99-RP АЗС 59,74866
99-RP АЗС 6,109906
99-RP АЗС 60,127816
99-RP АЗС 61,119470
99-RP АЗС 62,294200
99-RP АЗС 63,230114
99-RP АЗС 65,517066
99-RP АЗС 66,110200
99-RP АЗС 67,630718
99-RP АЗС 68,142688
99-RP АЗС 69,600542
99-RP АЗС 7,517294
99-RP АЗС 70,132090
99-RP АЗС 71,102098
99-RP АЗС 72,773736
99-RP АЗС 73,427118
99-RP АЗС 74,379310
99-RP АЗС 9,281648
