НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"07517",0,0,0,0,0,0,0,0,0,0,0,-159817,0,0,0,0,0,0,0,207000,0,0,0,0,0,0,0,0,0,0,0,47183
"078",0,0,0,0,0,0,0,0,0,0,0,-7965905,0,0,0,0,0,0,0,2115861,0,0,0,0,0,-139946,0,0,0,-2011948,0,-8001938
"078757",0,0,0,0,0,0,0,0,0,0,0,-158661,0,0,0,0,0,0,0,70500,0,0,0,0,0,0,0,0,0,0,0,-88161
"08",17097638,0,0,0,0,0,0,0,0,0,0,-367214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-138423,0,16592001
"0800",0,0,0,0,0,0,0,0,0,0,0,-454400,0,0,0,0,0,0,0,520300,0,0,0,0,0,0,0,0,0,0,0,65900
"0816",0,0,0,0,0,0,0,0,0,0,0,-3189264,0,0,0,0,0,0,0,648000,0,0,0,0,0,0,0,0,0,0,0,-2541264
"0825",0,0,0,0,0,0,0,0,0,0,0,-98580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-98580
"083",0,0,0,0,0,0,0,0,0,0,0,-496537,0,0,0,0,0,0,0,612123,0,0,0,0,0,0,0,0,0,-166964,0,-51378
"086",0,0,0,0,0,0,0,0,0,0,0,-454175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-454175
"08980",0,0,0,0,0,0,0,0,0,0,0,-95060,0,0,0,0,0,0,0,108000,0,0,0,0,0,0,0,0,0,0,0,12940
"09",0,0,0,0,0,0,0,0,0,0,0,-196795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-196795
"096809",45000,0,0,0,0,0,0,0,169155,0,0,-2211500,0,0,0,0,0,0,0,5500000,0,0,0,0,0,-21086,0,0,0,-1973568,0,1508001
"1",215739055,0,0,0,0,141793620,0,0,250000,2135832,0,-42201202,0,172800,0,0,0,0,-19468,13263777,0,0,0,0,0,-1577866,0,0,0,-12786073,0,316770475
"10",0,0,0,0,0,0,0,0,0,0,0,-3437449,0,0,0,0,0,0,0,0,0,0,0,0,0,-6150,0,0,0,-591055,0,-4034654
"100",23193440,0,0,0,0,200230,0,0,0,19502836,0,0,0,0,0,0,0,0,-18169934,0,0,0,0,0,0,0,0,0,0,0,0,24726572
"101",6664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6664
"102",239195373,0,0,0,0,0,0,0,0,27788902,0,0,0,0,0,0,0,0,-7771282,0,0,0,0,0,0,0,0,0,0,0,0,259212993
"1029",0,0,0,0,0,0,0,0,0,0,0,-120385,0,0,0,0,0,0,0,145500,0,0,0,0,0,0,0,0,0,0,0,25115
"103",1812066,0,0,0,0,0,0,0,0,620211,0,0,0,0,0,0,0,0,-696097,0,0,0,0,0,0,0,0,0,0,0,0,1736180
"104",3416349,0,0,0,0,0,0,0,0,374960,0,-1592282,0,0,0,0,0,0,-221568,0,0,0,0,0,0,0,0,0,0,0,0,1977459
"105",3256359,0,0,80801,0,0,0,0,0,659883,0,0,0,0,0,0,0,0,-667659,0,0,0,0,0,0,0,0,0,0,0,0,3329384
"106",90135,0,0,0,0,0,0,0,0,0,0,-17250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72885
"107",1824518,0,0,0,0,0,0,0,0,1560917,0,0,0,0,0,0,0,0,811926,0,0,0,0,0,0,0,0,0,0,0,0,4197361
"108",1645335,0,0,0,0,0,0,0,0,375012,0,0,0,0,0,0,0,0,-375012,0,0,0,0,0,0,0,0,0,0,0,0,1645335
"109",8665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8665
"11",0,0,0,0,0,0,0,0,0,0,0,-5079500,0,0,0,0,0,0,0,0,0,0,0,0,0,-136457,0,0,0,-2375875,0,-7591832
"110",13021450,0,0,-250677,0,0,0,0,0,7505167,0,-1063274,0,0,0,0,0,0,-3342766,0,0,0,0,0,0,0,0,0,0,0,0,15869900
